"",,,Laki-Laki (L)/ Male (M),Perempuan (P)/ Female (F),,L+P / M+F,
No.,P r o v i n s iP r o v i n c e,,< SM ≥ SM Subjml.,< SM ≥ SM Subjml.,< SM,≥ SM,Jumlah
"",,,< SSS ≥ SSS Sub Tot.,< SSS ≥ SSS Sub Tot.,< SSS,≥ SSS,Total
"",,,,,,,
1 Prov. D.K.I. Jakarta,,,"197 1,130 1,327",109 753 862,306,"1,883","2,189"
2 Prov. Jawa Barat,,,"794 4,192 4,986","398 2,532 2,930","1,192","6,724","7,916"
3 Prov. Jawa Tengah,,,"281 3,054 3,335","200 2,080 2,280",481,"5,134","5,615"
4 Prov. D.I. Yogyakarta,,,88 577 665,39 338 377,127,915,"1,042"
5 Prov. Jawa Timur,,,"464 3,159 3,623","316 2,337 2,653",780,"5,496","6,276"
6 Prov. Aceh,,,"147 928 1,075","234 1,389 1,623",381,"2,317","2,698"
7 Prov. Sumatera Utara,,,129 848 977,"148 1,248 1,396",277,"2,096","2,373"
8 Prov. Sumatera Barat,,,92 506 598,"148 979 1,127",240,"1,485","1,725"
9 Prov. Riau,,,80 695 775,112 816 928,192,"1,511","1,703"
10 Prov. Jambi,,,89 350 439,111 479 590,200,829,"1,029"
11 Prov. Sumatera Selatan,,,"114 922 1,036","134 1,212 1,346",248,"2,134","2,382"
12 Prov. Lampung,,,"127 879 1,006","124 939 1,063",251,"1,818","2,069"
13 Prov. Kalimantan Barat,,,34 370 404,46 303 349,80,673,753
14 Prov. Kalimantan Tengah,,,27 181 208,26 179 205,53,360,413
15 Prov. Kalimantan Selatan,,,43 257 300,53 320 373,96,577,673
16 Prov. Kalimantan Timur,,,66 289 355,103 396 499,169,685,854
17 Prov. Sulawesi Utara,,,33 166 199,77 328 405,110,494,604
18 Prov. Sulawesi Tengah,,,43 317 360,54 422 476,97,739,836
19 Prov. Sulawesi Selatan,,,92 680 772,"118 1,137 1,255",210,"1,817","2,027"
20 Prov. Sulawesi Tenggara,,,28 244 272,39 321 360,67,565,632
21 Prov. Maluku,,,23 267 290,37 388 425,60,655,715
22 Prov. Bali,,,85 706 791,71 752 823,156,"1,458","1,614"
23 Prov. Nusa Tenggara Barat,,,"90 912 1,002",49 655 704,139,"1,567","1,706"
24 Prov. Nusa Tenggara Timur,,,124 655 779,100 630 730,224,"1,285","1,509"
25 Prov. Papua,,,60 163 223,52 177 229,112,340,452
26 Prov. Bengkulu,,,31 302 333,47 426 473,78,728,806
27 Prov. Maluku Utara,,,31 127 158,30 175 205,61,302,363
28 Prov. Banten,,,148 835 983,102 707 809,250,"1,542","1,792"
29 Prov. Kepulauan Bangka Belitung,,,24 190 214,30 197 227,54,387,441
30 Prov. Gorontalo,,,8 67 75,31 264 295,39,331,370
31 Prov. Kepulauan Riau,,,50 298 348,57 237 294,107,535,642
32 Prov. Papua Barat,,,20 63 83,13 74 87,33,137,170
33 Prov. Sulawesi Barat,,,39 208 247,43 247 290,82,455,537
34 Prov. Kalimantan Utara,,,8 76 84,8 90 98,16,166,182
"",,,,,,,
Indonesia,,,"3,709 24,613 28,322","3,259 23,527 26,786","6,968","48,140","55,108"
