CAPAIAN NILAI UJIAN NASIONAL;;;;;;;;;;
TAHUN PELAJARAN 2018/2019;;;;;;;;;;
;;;;;;;;;;
NO;KODE;NAMA PROVINSI;JUMLAH SATUAN PENDIDIKAN;JUMLAH PESERTA;RERATA NILAI PADA MATA UJI;;;;RERATA NILAI;
;;;;;BAHASA INDONESIA;BAHASA INGGRIS;MATEMATIKA;IPA;;
1; 01;DKI JAKARTA;1320;136740;72.88;60.98;53.26;55.71;60,71;
2; 02;JAWA BARAT;6838;649629;63.62;49.59;43.95;46.74;50,98;
3; 03;JAWA TENGAH;4596;490841;71.16;51.33;49.96;53.2;56,41;
4; 04;DI YOGYAKARTA;546;51260;78.15;58.73;60.22;61.16;64,57;
5; 05;JAWA TIMUR;8166;586606;67.25;51.15;48.03;50.89;54,33;
6; 06;ACEH;1521;85691;54.57;43.12;38.79;40.95;44,36;
7; 07;SUMATERA UTARA;2942;247406;58.63;46.75;42.65;44.43;48,12;
8; 08;SUMATERA BARAT;815;74916;69.71;49.48;48.2;51.12;54,63;
9; 09;RIAU;1161;81926;64.71;48.33;43.91;46.9;50,96;
10; 10;JAMBI;799;51471;60.22;45.6;41.19;43.56;47,64;
11; 11;SUMATERA SELATAN;1052;92164;58.21;45.15;40.26;42.31;46,48;
12; 12;LAMPUNG;1513;105627;62.29;45.61;40.83;43.88;48,15;
13; 13;KALIMANTAN BARAT;588;45790;63.21;47.61;41.55;44.41;49,20;
14; 14;KALIMANTAN TENGAH;421;26316;62.52;47.05;40.6;43.88;48,51;
15; 15;KALIMANTAN SELATAN;958;60847;66.59;48.85;42.05;47.08;51,14;
16; 16;KALIMANTAN TIMUR;486;46381;69.98;53.86;44.14;49.31;54,32;
17; 17;SULAWESI UTARA;671;37835;56.8;47.19;39.33;43.25;46,64;
18; 18;SULAWESI TENGAH;674;37004;59.74;44.97;39.46;43.86;47,01;
19; 19;SULAWESI SELATAN;1915;128201;59.36;46.15;40.82;44.74;47,77;
20; 20;SULAWESI TENGGARA;482;29356;59.61;45.69;40.21;44.74;47,56;
21; 21;MALUKU;236;17588;55.55;46.69;39.24;45.36;46,71;
22; 22;BALI;294;46187;69.95;55.98;45.29;51.77;55,75;
23; 23;NUSA TENGGARA BARAT;1344;74520;56.73;44.01;38.74;42.49;45,49;
24; 24;NUSA TENGGARA TIMUR;326;32707;63.47;46.18;39.5;45;48,54;
25; 25;PAPUA;244;21662;55.64;45.04;37.28;43.17;45,28;
26; 26;BENGKULU;287;22236;63.51;45.86;41.47;44.92;48,94;
27; 27;MALUKU UTARA;152;10741;53.93;46.87;40.49;46.52;46,95;
28; 28;BANGKA BELITUNG;255;22119;67.89;48.33;44.34;47.9;52,12;
29; 29;GORONTALO;399;20111;56.04;44.69;40.74;43.51;46,25;
30; 30;BANTEN;2003;158554;61.06;49.37;42.98;45.14;49,64;
31; 31;KEPULAUAN RIAU;197;19651;72.11;59.24;51.05;54.33;59,18;
32; 32;SULAWESI BARAT;358;19655;53.49;41.2;36.92;38.8;42,60;
33; 33;PAPUA BARAT;106;8896;57.57;46.77;39.32;45.23;47,22;
34; 34;KALIMANTAN UTARA;139;9761;64.21;47.08;40.82;44.48;49,15;
;99;NASIONAL;43804;3550395;64.67;49.56;45.06;48.08;51,84;
